id,rank,name,symbol,slug,is_active,status,first_historical_data,last_historical_data,platform
1,1,Bitcoin,BTC,bitcoin,1,1,2010-07-13T00:05:00.000Z,2025-09-04T13:35:00.000Z,
2,21,Litecoin,LTC,litecoin,1,1,2013-04-28T18:45:00.000Z,2025-09-04T13:35:00.000Z,
3,886,Namecoin,NMC,namecoin,1,1,2013-04-28T18:45:00.000Z,2025-09-04T13:35:00.000Z,
4,6335,Terracoin,TRC,terracoin,1,1,2013-04-28T18:45:00.000Z,2025-09-04T13:35:00.000Z,
5,1184,Peercoin,PPC,peercoin,1,1,2013-04-28T18:45:00.000Z,2025-09-04T13:35:00.000Z,
6,6066,Novacoin,NVC,novacoin,1,1,2013-04-28T18:45:00.000Z,2025-09-04T13:35:00.000Z,
8,2229,Feathercoin,FTC,feathercoin,1,1,2013-05-03T03:25:00.000Z,2025-09-04T13:35:00.000Z,
10,5868,Freicoin,FRC,freicoin,1,1,2013-05-03T03:25:00.000Z,2025-09-04T13:35:00.000Z,
13,6157,Ixcoin,IXC,ixcoin,1,1,2013-05-08T05:20:00.000Z,2025-09-04T13:35:00.000Z,
18,6254,Digitalcoin,DGC,digitalcoin,1,1,2013-06-09T17:55:00.000Z,2025-09-04T13:35:00.000Z,
22,1743,Luckycoin,LKY,luckycoin,1,1,2024-10-17T09:30:00.000Z,2025-09-04T13:35:00.000Z,
25,2608,Goldcoin,GLC,goldcoin,1,1,2013-06-14T06:45:00.000Z,2025-09-04T13:35:00.000Z,
26,2131,Junkcoin,JKC,junkcoin,1,1,2024-11-26T07:30:00.000Z,2025-09-04T13:35:00.000Z,
35,2055,Phoenixcoin,PXC,phoenixcoin,1,1,2013-07-04T05:15:00.000Z,2025-09-04T13:35:00.000Z,
42,1907,Primecoin,XPM,primecoin,1,1,2013-07-11T03:20:00.000Z,2025-09-04T13:35:00.000Z,
45,5362,CasinoCoin,CSC,casinocoin,1,1,2018-01-16T00:00:00.000Z,2025-09-04T13:35:00.000Z,"{'id': 16, 'name': 'Solana', 'symbol': 'SOL', 'slug': 'solana', 'token_address': 'CSCojiafv6WLUtT2AGTHgcfnYiGoTZpGgBRwhvfuWQFY'}"
52,3,XRP,XRP,xrp,1,1,2013-08-04T18:50:00.000Z,2025-09-04T13:35:00.000Z,
56,6346,Zetacoin,ZET,zetacoin,1,1,2013-09-11T01:45:00.000Z,2025-09-04T13:35:00.000Z,
61,6347,TagCoin,TAG,tagcoin,1,1,2013-11-05T13:30:00.000Z,2025-09-04T13:35:00.000Z,
67,6145,Unobtanium,UNO,unobtanium,1,1,2013-12-21T18:15:00.000Z,2025-09-04T13:35:00.000Z,
72,2807,Deutsche eMark,DEM,deutsche-emark,1,1,2013-12-15T01:50:00.000Z,2025-09-04T13:35:00.000Z,
74,8,Dogecoin,DOGE,dogecoin,1,1,2013-12-15T14:40:00.000Z,2025-09-04T13:35:00.000Z,
77,1127,Diamond,DMD,diamond,1,1,2013-12-19T12:30:00.000Z,2025-09-04T13:35:00.000Z,
78,6348,HoboNickels,HBN,hobonickels,1,1,2013-12-20T13:30:00.000Z,2025-09-04T13:35:00.000Z,
83,6225,Omni,OMNI,omni,1,1,2013-12-24T23:35:00.000Z,2025-09-04T13:35:00.000Z,
90,2724,Dimecoin,DIME,dimecoin,1,1,2014-01-06T07:40:00.000Z,2025-09-04T13:35:00.000Z,
93,6349,42-coin,42,42-coin,1,1,2014-01-14T04:30:00.000Z,2025-09-04T13:35:00.000Z,
99,1458,Vertcoin,VTC,vertcoin,1,1,2014-01-20T05:25:00.000Z,2025-09-04T13:35:00.000Z,
109,274,DigiByte,DGB,digibyte,1,1,2014-02-06T13:10:00.000Z,2025-09-04T13:35:00.000Z,
118,6245,ReddCoin,RDD,redd,1,1,2014-02-10T00:55:00.000Z,2025-09-04T13:35:00.000Z,
122,5678,PotCoin,POT,potcoin,1,1,2014-02-10T04:20:00.000Z,2025-09-04T13:35:00.000Z,
128,6350,Maxcoin,MAX,maxcoin,1,1,2014-02-12T13:30:00.000Z,2025-09-04T13:35:00.000Z,
131,160,Dash,DASH,dash,1,1,2014-02-14T13:40:00.000Z,2025-09-04T13:35:00.000Z,
132,1133,Counterparty,XCP,counterparty,1,1,2014-02-15T13:55:00.000Z,2025-09-04T13:35:00.000Z,
148,5931,Auroracoin,AUR,auroracoin,1,1,2014-02-27T05:30:00.000Z,2025-09-04T13:35:00.000Z,
154,4739,Marscoin,MARS,marscoin,1,1,2014-02-24T13:40:00.000Z,2025-09-04T13:35:00.000Z,
162,4681,Magic Internet Money,MIM,magic-internet-money,1,1,2014-03-12T05:25:00.000Z,2025-09-04T13:35:00.000Z,
170,6351,BlackCoin,BLK,blackcoin,1,1,2014-02-28T05:10:00.000Z,2025-09-04T13:35:00.000Z,
213,1204,MonaCoin,MONA,monacoin,1,1,2014-03-20T05:05:00.000Z,2025-09-04T13:35:00.000Z,
215,6352,Rubycoin,RBY,rubycoin,1,1,2014-03-20T05:05:00.000Z,2025-09-04T13:35:00.000Z,
234,6265,e-Gulden,EFL,e-gulden,1,1,2014-03-26T12:40:00.000Z,2025-09-04T13:35:00.000Z,
258,797,Groestlcoin,GRS,groestlcoin,1,1,2014-04-11T20:45:00.000Z,2025-09-04T13:35:00.000Z,
260,6353,PetroDollar,XPD,petrodollar,1,1,2014-04-15T04:35:00.000Z,2025-09-04T13:35:00.000Z,
263,6354,PLNcoin,PLNC,plncoin,1,1,2014-04-15T04:35:00.000Z,2025-09-04T13:35:00.000Z,
268,1241,WhiteCoin,XWC,whitecoin,1,1,2014-04-18T12:10:00.000Z,2025-09-04T13:35:00.000Z,
276,6355,Bitstar,BITS,bitstar,1,1,2014-04-23T12:00:00.000Z,2025-09-04T13:35:00.000Z,
278,6356,Quebecoin,QBC,quebecoin,1,1,2014-04-23T12:00:00.000Z,2025-09-04T13:35:00.000Z,
290,6357,BlueCoin,BLU,bluecoin,1,1,2014-04-28T03:20:00.000Z,2025-09-04T13:35:00.000Z,
293,2579,Bitcoin Plus,XBC,bitcoin-plus,1,1,2014-05-04T01:30:00.000Z,2025-09-04T13:35:00.000Z,
316,6358,Dreamcoin,DRM,dreamcoin,1,1,2014-05-13T04:00:00.000Z,2025-09-04T13:35:00.000Z,
328,27,Monero,XMR,monero,1,1,2014-05-21T01:40:00.000Z,2025-09-04T13:35:00.000Z,
360,6359,Motocoin,MOTO,motocoin,1,1,2014-06-03T12:45:00.000Z,2025-09-04T13:35:00.000Z,
362,2735,CloakCoin,CLOAK,cloakcoin,1,1,2014-06-07T00:05:00.000Z,2025-09-04T13:35:00.000Z,
