,username,tweet_count,avg_perf,positive,negative,zero,hit_rate_%
1,IncomeSharks,8,305.5500736569831,8,0,0,100.0
2,CredibleCrypto,21,140.3064259483123,11,9,1,52.38095238095239
3,Numb3rsguy_,16,100.85940795834019,7,9,0,43.75
4,ThinkingBitmex,6,48.94512011523796,2,4,0,33.33333333333333
5,EtherWizz_,12,46.539678869493166,6,6,0,50.0
6,TimeFreedomROB,56,45.822778525861544,21,30,5,37.5
7,noBScrypto,13,44.27014262377058,10,2,1,76.92307692307693
8,AltcoinSherpa,36,38.105686683868555,14,16,6,38.88888888888889
9,TheCryptoProfes,3,28.381316290677514,1,1,1,33.33333333333333
10,TedPillows,36,18.85537154479854,18,17,1,50.0
11,blknoiz06,4,16.29299054977598,4,0,0,100.0
12,crypto_goos,55,15.683142542173528,31,24,0,56.36363636363636
13,dennis_qian,3,3.4088456498985114,1,1,1,33.33333333333333
14,Ashcryptoreal,53,2.2984434552091484,18,35,0,33.9622641509434
15,pierre_crypt0,6,1.4584716037390166,2,4,0,33.33333333333333
16,defi_mochi,3,-0.737883090160218,1,1,1,33.33333333333333
17,CryptoAnup,6,-4.062861341057011,0,6,0,0.0
18,trader_koala,12,-7.158819263129325,2,8,2,16.666666666666664
19,JamesWynnReal,12,-7.325930219043795,4,7,1,33.33333333333333
20,Crypto_Chase,4,-11.51676292772589,2,2,0,50.0
21,DJohnson_CPA,6,-12.598610723539421,3,3,0,50.0
22,CryptoCaesarTA,4,-18.799419973750254,0,4,0,0.0
23,galaxyBTC,4,-25.703653020153272,0,4,0,0.0
24,trader1sz,4,-29.870437396224265,1,3,0,25.0
25,cryptorangutang,4,-31.37602217015918,0,3,1,0.0
