user_id,return_pct,win_rate,total_calls,total_tweets,call_to_noise_ratio,avg_holding_hours,composite_score,profit_grade,points,rank_global,rank_change_24h,win_streak,lose_streak,most_recent_call_utc,window,snapshot_ts
KeyboardMonkey3,41.7404,100.0,1,1,100.0,8.55,65.04,A,0.0,1,0,1,0,2025-09-16T11:54:58Z,24h,1758054467
RookieXBT,10.2487,100.0,1,1,100.0,10.88,46.15,B,0.0,2,-1,1,0,2025-09-16T09:35:15Z,24h,1758054467
Bluntz_Capital,0.8642,100.0,1,1,100.0,23.62,40.52,B,0.0,3,-1,1,0,2025-09-15T20:50:47Z,24h,1758054467
ThinkingBitmex,6.0641,100.0,1,3,33.33,2.01,36.97,C,0.0,4,6,1,0,2025-09-16T18:27:20Z,24h,1758054467
Numb3rsguy_,2.1686,66.67,3,4,75.0,5.84,28.8,C,0.0,5,0,2,0,2025-09-16T16:18:57Z,24h,1758054467
CryptoAnup,9.1529,50.0,2,3,66.67,10.79,27.16,C,0.0,6,1,1,0,2025-09-16T16:55:18Z,24h,1758054467
trader_koala,3.5742,50.0,2,2,100.0,4.27,27.14,C,0.0,7,0,1,0,2025-09-16T16:14:13Z,24h,1758054467
TheCryptoProfes,5.5231,42.86,7,9,77.78,9.58,23.95,D,0.0,8,0,0,2,2025-09-16T15:39:20Z,24h,1758054467
TedPillows,-13.6801,80.0,5,7,71.43,7.54,22.93,D,0.0,9,0,4,0,2025-09-16T17:37:23Z,24h,1758054467
EtherWizz_,0.4321,50.0,2,3,66.67,13.52,21.93,D,0.0,10,-7,1,0,2025-09-16T07:45:13Z,24h,1758054467
crypto_goos,2.8332,23.08,13,14,92.86,10.42,17.91,D,0.0,11,0,0,8,2025-09-16T16:03:00Z,24h,1758054467
noBScrypto,-1.175,25.0,4,4,100.0,17.47,16.8,D,0.0,12,-8,0,3,2025-09-16T04:35:19Z,24h,1758054467
fundstrat,-14.1824,20.0,5,5,100.0,6.21,7.49,D,0.0,13,0,0,4,2025-09-16T18:01:55Z,24h,1758054467
cryptorangutang,-5.0899,0.0,1,1,100.0,4.38,6.95,D,0.0,14,0,0,1,2025-09-16T16:05:04Z,24h,1758054467
IncomeSharks,-5.9896,0.0,1,1,100.0,2.69,6.41,D,0.0,15,0,0,1,2025-09-16T17:46:34Z,24h,1758054467
trader1sz,-6.4588,0.0,1,1,100.0,8.67,6.12,D,0.0,16,0,0,1,2025-09-16T11:47:31Z,24h,1758054467
AltcoinSherpa,-9.9741,14.29,7,10,70.0,10.62,5.3,D,0.0,17,0,0,6,2025-09-16T17:41:56Z,24h,1758054467
defi_mochi,0.0,0.0,1,2,50.0,19.89,5.0,D,0.0,18,-7,0,1,2025-09-16T00:34:14Z,24h,1758054467
TheWhiteWhaleHL,-8.6774,0.0,1,1,100.0,21.8,4.79,D,0.0,19,0,0,1,2025-09-15T22:39:46Z,24h,1758054467
TimeFreedomROB,-11.9519,0.0,8,8,100.0,10.43,2.83,D,0.0,20,0,0,8,2025-09-16T16:49:31Z,24h,1758054467
Tradermayne,-5.0685,0.0,1,2,50.0,16.31,1.96,D,0.0,21,0,0,1,2025-09-16T04:09:04Z,24h,1758054467
CredibleCrypto,-8.8094,0.0,2,3,66.67,7.51,1.38,D,0.0,22,0,0,2,2025-09-16T18:21:14Z,24h,1758054467
Crypto_Chase,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,23,-17,0,0,,24h,1758054467
CryptoCaesarTA,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,24,-15,0,0,,24h,1758054467
lBattleRhino,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,25,0,0,0,,24h,1758054467
pierre_crypt0,0.0,0.0,0,3,0.0,0.0,0.0,D,0.0,26,0,0,0,,24h,1758054467
BastilleBtc,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,27,0,0,0,,24h,1758054467
Ashcryptoreal,-17.9632,0.0,13,13,100.0,8.51,-0.78,D,0.0,28,0,0,13,2025-09-16T17:21:03Z,24h,1758054467
galaxyBTC,-20.4317,0.0,2,2,100.0,14.24,-2.26,D,0.0,29,-24,0,2,2025-09-16T07:55:36Z,24h,1758054467
