user_id,return_pct,win_rate,total_calls,total_tweets,call_to_noise_ratio,avg_holding_hours,composite_score,profit_grade,points,rank_global,rank_change_24h,win_streak,lose_streak,most_recent_call_utc,window,snapshot_ts
RookieXBT,10.2487,100.0,1,1,100.0,7.67,46.15,B,0.0,1,0,1,0,2025-09-16T09:35:15Z,24h,1758042943
Bluntz_Capital,0.8642,100.0,1,1,100.0,20.42,40.52,B,0.0,2,0,1,0,2025-09-15T20:50:47Z,24h,1758042943
EtherWizz_,0.8642,100.0,1,1,100.0,9.51,40.52,B,0.0,3,0,1,0,2025-09-16T07:45:13Z,24h,1758042943
noBScrypto,-5.3064,0.0,1,1,100.0,12.67,6.82,D,0.0,4,0,0,1,2025-09-16T04:35:16Z,24h,1758042943
galaxyBTC,-6.6767,0.0,1,1,100.0,9.34,5.99,D,0.0,5,0,0,1,2025-09-16T07:55:36Z,24h,1758042943
Crypto_Chase,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,6,0,0,0,,24h,1758042943
CryptoAnup,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,7,0,0,0,,24h,1758042943
TheCryptoProfes,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,8,0,0,0,,24h,1758042943
CryptoCaesarTA,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,9,0,0,0,,24h,1758042943
ThinkingBitmex,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,10,0,0,0,,24h,1758042943
defi_mochi,0.0,0.0,0,1,0.0,0.0,0.0,D,0.0,11,0,0,0,,24h,1758042943
